algorithm_name,algorithm_full_name,test_suite_full_name
grover,qiskit.aqua.algorithms.amplitude_amplifiers.grover,test.aqua.test_grover
qsvm,qiskit.aqua.algorithms.classifiers.qsvm.qsvm,test.aqua.test_qsvm
sklearn_svm,qiskit.aqua.algorithms.classifiers.sklearn_svm.sklearn_svm,test.aqua.test_sklearn_svm
vqc,qiskit.aqua.algorithms.classifiers.vqc,test.aqua.test_vqc
qgan,qiskit.aqua.algorithms.distribution_learners.qgan,test.aqua.test_qgan
bernstein_vazirani,qiskit.aqua.algorithms.education.bernstein_vazirani,test.aqua.test_bernstein_vazirani
deutsch_jozsa,qiskit.aqua.algorithms.education.deutsch_jozsa,test.aqua.test_deutsch_jozsa
eoh,qiskit.aqua.algorithms.education.eoh,test.aqua.test_eoh
simon,qiskit.aqua.algorithms.education.simon,test.aqua.test_simon
numpy_eigen_solver,qiskit.aqua.algorithms.eigen_solvers.numpy_eigen_solver,test.aqua.test_numpy_eigen_solver
shor,qiskit.aqua.algorithms.factorizers.shor,test.aqua.test_shor
hhl,qiskit.aqua.algorithms.linear_solvers.hhl,test.aqua.test_hhl
numpy_ls_solver,qiskit.aqua.algorithms.linear_solvers.numpy_ls_solver,test.aqua.test_numpy_ls_solver
classical_cplex,qiskit.aqua.algorithms.minimum_eigen_solvers.cplex.classical_cplex,test.optimization.test_classical_cplex
iqpe,qiskit.aqua.algorithms.minimum_eigen_solvers.iqpe,test.aqua.test_iqpe
numpy_minimum_eigen_solver,qiskit.aqua.algorithms.minimum_eigen_solvers.numpy_minimum_eigen_solver,test.aqua.test_numpy_minimum_eigen_solver
qaoa,qiskit.aqua.algorithms.minimum_eigen_solvers.qaoa.qaoa,test.optimization.test_qaoa
qpe,qiskit.aqua.algorithms.minimum_eigen_solvers.qpe,test.aqua.test_qpe
vqe,qiskit.aqua.algorithms.minimum_eigen_solvers.vqe,test.aqua.test_vqe
adapt_vqe,qiskit.chemistry.algorithms.ground_state_solvers.adapt_vqe,test.chemistry.test_adapt_vqe
bopes_sampler,qiskit.chemistry.algorithms.pes_samplers.bopes_sampler,test.chemistry.test_bopes_sampler
cobyla_optimizer,qiskit.optimization.algorithms.cobyla_optimizer,test.optimization.test_cobyla_optimizer
cplex_optimizer,qiskit.optimization.algorithms.cplex_optimizer,test.optimization.test_cplex_optimizer
grover_optimizer,qiskit.optimization.algorithms.grover_optimizer,test.optimization.test_grover_optimizer
