mutation_operator_description,mutation_operator_id,mutation_operator_type
ArithmeticOperatorDeletion,AOD,classic
ArithmeticOperatorReplacement,AOR,classic
AssignmentOperatorReplacement,ASR,classic
BreakContinueReplacement,BCR,classic
ConditionalOperatorDeletion,COD,classic
ConditionalOperatorInsertion,COI,classic
ConstantReplacement,CRP,classic
DecoratorDeletion,DDL,classic
ExceptionHandlerDeletion,EHD,classic
ExceptionSwallowing,EXS,classic
HidingVariableDeletion,IHD,classic
OverridingMethodDeletion,IOD,classic
OverriddenMethodCallingPositionChange,IOP,classic
LogicalConnectorReplacement,LCR,classic
LogicalOperatorDeletion,LOD,classic
LogicalOperatorReplacement,LOR,classic
RelationalOperatorReplacement,ROR,classic
SuperCallingDeletion,SCD,classic
SuperCallingInsert,SCI,classic
SliceIndexRemove,SIR,classic
QuantumGateDeletion,QGD,quantum
QuantumGateInsertion,QGI,quantum
QuantumGateReplacement,QGR,quantum
QuantumMeasurementDeletion,QMD,quantum
QuantumMeasurementInsertion,QMI,quantum
